plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
ang20170901t211100-A,33.772601,-118.286431,2017-09-01T21:11:00+00,Electricity Generation (1A1),CH4,mf,"[-118.29022030508537, 33.76911674309968, -118.28218454662318, 33.775826168321224]",ang,2023-05-14 20:21:18.057328+00:00,,,,,77.0,38.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t211100-C,33.774404,-118.282011,2017-09-01T21:11:00+00,Electricity Generation (1A1),CH4,mf,"[-118.28604686942796, 33.77124329725011, -118.2780109026559, 33.77795272985536]",ang,2023-05-14 20:21:18.057193+00:00,,,,,37.0,21.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t212236-A,33.905431,-118.406435,2017-09-01T21:22:36+00,Waste Water (6B),CH4,mf,"[-118.41053939234229, 33.90223357642926, -118.40249153832139, 33.90894264244682]",ang,2023-05-14 20:21:18.050756+00:00,,,,,166.0,58.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t214553-A,33.851096,-118.394712,2017-09-01T21:45:53+00,Electricity Generation (1A1),CH4,mf,"[-118.39871090130598, 33.847980594804824, -118.39066808446523, 33.85468972569416]",ang,2023-05-14 20:21:18.074583+00:00,,,,,81.0,21.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t220350-A,33.646633,-117.978157,2017-09-01T22:03:50+00,Oil & Gas (1B2),CH4,mf,"[-117.98237901463341, 33.64322546402549, -117.97431855313654, 33.64990587544475]",ang,2023-05-14 20:21:18.052324+00:00,,,,,,,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t220350-B,33.740281,-118.139051,2017-09-01T22:03:50+00,Oil & Gas (1B2),CH4,mf,"[-118.1428326087812, 33.73685584827572, -118.1347638793698, 33.74356551738921]",ang,2023-05-14 20:21:18.052204+00:00,,,,,54.0,15.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t220350-D,33.804214,-118.243943,2017-09-01T22:03:50+00,Electricity Generation (1A1),CH4,mf,"[-118.24764343206732, 33.800993887805355, -118.23960460118538, 33.80770337999824]",ang,2023-05-14 20:21:18.052263+00:00,,,,,185.0,55.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t221701-B,33.76501898,-118.0992873,2017-09-01T22:17:01+00,Electricity Generation (1A1),CH4,mf,"[-118.10293656801764, 33.761439365933924, -118.0949010751204, 33.76814917055122]",ang,2023-05-14 20:23:24.223539+00:00,,,,,105.0,44.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t221701-D,33.811204,-118.174816,2017-09-01T22:17:01+00,Electricity Generation (1A1),CH4,mf,"[-118.17872721274257, 33.807885105652936, -118.17068757348365, 33.81459473212421]",ang,2023-05-14 20:23:24.223477+00:00,,,,,528.0,243.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170901t221701-E,33.845592,-118.238142,2017-09-01T22:17:01+00,Electricity Generation (1A1),CH4,mf,"[-118.24211890611217, 33.842295579463034, -118.23400462704826, 33.84903481954934]",ang,2023-05-14 20:23:24.223601+00:00,,,,,856.0,401.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t173429-A,34.44705,-118.588342,2017-09-02T17:34:29+00,Oil & Gas (1B2),CH4,mf,"[-118.59083424888598, 34.44576611052773, -118.58631859068277, 34.44950610916184]",ang,2023-05-14 20:21:18.051643+00:00,,,,,182.0,53.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t173429-B,34.447442,-118.58673,2017-09-02T17:34:29+00,Oil & Gas (1B2),CH4,mf,"[-118.58908602362348, 34.445577161607986, -118.58460964084885, 34.4492524008451]",ang,2023-05-14 20:21:18.051704+00:00,,,,,192.0,62.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t175708-A,35.39841305,-119.1764741,2017-09-02T17:57:08+00,Oil & Gas (1B2),CH4,mf,"[-119.18003095983818, 35.3952507656854, -119.17198308333938, 35.40181093304712]",ang,2023-05-14 20:21:18.057134+00:00,,,,,,,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t181754-B,35.375167,-119.08075,2017-09-02T18:17:54+00,Electricity Generation (1A1),CH4,mf,"[-119.08429813024982, 35.37212030523936, -119.07621679539416, 35.378680860828474]",ang,2023-05-14 20:21:18.060048+00:00,,,,,52.0,18.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t182501-A,35.43464,-119.141121,2017-09-02T18:25:01+00,Oil & Gas (1B2),CH4,mf,"[-119.14441638755237, 35.43197250921253, -119.13629401267046, 35.438561611974976]",ang,2023-05-14 20:21:18.058111+00:00,,,,,172.0,24.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t182501-B,35.438844,-119.132434,2017-09-02T18:25:01+00,Oil & Gas (1B2),CH4,mf,"[-119.13622742822287, 35.43557754567403, -119.12821061139326, 35.44213789833954]",ang,2023-05-14 20:21:18.058051+00:00,,,,,50.0,16.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t183146-A,35.39502641,-119.053121,2017-09-02T18:31:46+00,Oil & Gas (1B2),CH4,mf,"[-119.05683906410216, 35.39153738243194, -119.04875569608694, 35.39809800920076]",ang,2023-05-14 20:21:18.066260+00:00,,,,,154.0,37.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t183146-B,35.421747,-119.079611,2017-09-02T18:31:46+00,Oil & Gas (1B2),CH4,mf,"[-119.08341608410113, 35.41802656850135, -119.07540079984699, 35.42458709662215]",ang,2023-05-14 20:21:18.066314+00:00,,,,,220.0,102.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t183845-A,35.39502641,-119.053121,2017-09-02T18:38:45+00,Oil & Gas (1B2),CH4,mf,"[-119.0569088754615, 35.3925147290138, -119.04882541052278, 35.39907535492875]",ang,2023-05-14 20:21:18.062573+00:00,,,,,59.0,20.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t183845-B,35.421747,-119.079611,2017-09-02T18:38:45+00,Oil & Gas (1B2),CH4,mf,"[-119.08308909419958, 35.418635694124404, -119.0750737486035, 35.425196222850644]",ang,2023-05-14 20:21:18.062628+00:00,,,,,42.0,7.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t190603-A,35.47328,-119.05815,2017-09-02T19:06:03+00,Oil & Gas (1B2),CH4,mf,"[-119.06183908642791, 35.4701852610079, -119.05403507651023, 35.47654073274873]",ang,2023-05-14 20:23:24.237440+00:00,,,,,115.0,31.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t190603-B,35.481366,-119.078058,2017-09-02T19:06:03+00,Oil & Gas (1B2),CH4,mf,"[-119.08165444850138, 35.478118786682145, -119.07378119569692, 35.48450214008246]",ang,2023-05-14 20:23:24.237492+00:00,,,,,255.0,38.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t191312-A,35.445982,-119.014973,2017-09-02T19:13:12+00,Oil & Gas (1B2),CH4,mf,"[-119.01661753670497, 35.44498956220595, -119.00874726428876, 35.45137312804982]",ang,2023-05-14 20:23:24.224564+00:00,,,,,140.0,34.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t191312-B,35.470594,-119.039387,2017-09-02T19:13:12+00,Oil & Gas (1B2),CH4,mf,"[-119.0405551469993, 35.46649727093144, -119.03278555655164, 35.47285287763533]",ang,2023-05-14 20:23:24.224440+00:00,,,,,152.0,15.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t191312-C,35.47328,-119.05815,2017-09-02T19:13:12+00,Oil & Gas (1B2),CH4,mf,"[-119.06233870872845, 35.4700413154438, -119.05453471447514, 35.47639678580576]",ang,2023-05-14 20:23:24.224316+00:00,,,,,108.0,57.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t191312-E,35.498964,-119.072134,2017-09-02T19:13:12+00,Oil & Gas (1B2),CH4,mf,"[-119.07195054102772, 35.49578242049143, -119.06417825458982, 35.50213791637919]",ang,2023-05-14 20:23:24.224378+00:00,,,,,145.0,15.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t191312-F,35.503708,-119.076474,2017-09-02T19:13:12+00,Oil & Gas (1B2),CH4,mf,"[-119.07748551943962, 35.49971174466383, -119.06971287585887, 35.50606722167943]",ang,2023-05-14 20:23:24.224502+00:00,,,,,205.0,79.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t192638-A,35.48990762,-119.0308779,2017-09-02T19:26:38+00,Oil & Gas (1B2),CH4,mf,"[-119.0335775779712, 35.486990119382135, -119.0257718479189, 35.49334566309363]",ang,2023-05-14 20:23:19.263773+00:00,,,,,184.0,70.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t194119-A,35.496024,-119.009044,2017-09-02T19:41:19+00,Oil & Gas (1B2),CH4,mf,"[-119.01153292415994, 35.49242775039055, -119.00376074421006, 35.49878342459665]",ang,2023-05-14 20:21:18.079657+00:00,,,,,314.0,91.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t195807-A,35.494612,-118.896687,2017-09-02T19:58:07+00,Oil & Gas (1B2),CH4,mf,"[-118.90020572076064, 35.49172475262039, -118.89265082880027, 35.49784872868709]",ang,2023-05-14 20:21:18.051522+00:00,,,,,249.0,53.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t200544-A,35.49191861,-118.8970857,2017-09-02T20:05:44+00,Oil & Gas (1B2),CH4,mf,"[-118.9009420193086, 35.48893802592298, -118.89338738962904, 35.49506200178657]",ang,2023-05-14 20:23:24.231976+00:00,,,,,335.0,54.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t204221-A,35.6031462,-119.7053067,2017-09-02T20:42:21+00,Oil & Gas (1B2),CH4,mf,"[-119.70805707472861, 35.599384143642865, -119.69988567489064, 35.60599932990475]",ang,2023-05-14 20:23:19.266480+00:00,,,,,234.0,50.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t210014-B,35.25385,-119.586805,2017-09-02T21:00:14+00,Oil & Gas (1B2),CH4,mf,"[-119.59086567822054, 35.24982450542212, -119.58295016547103, 35.25631625883594]",ang,2023-05-14 20:23:24.235249+00:00,,,,,260.0,28.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t210014-C,35.278112,-119.600808,2017-09-02T21:00:14+00,Oil & Gas (1B2),CH4,mf,"[-119.60460897354442, 35.274684499341426, -119.5967933686577, 35.281092712511324]",ang,2023-05-14 20:23:24.235196+00:00,,,,,78.0,6.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t210014-D,35.341696,-119.646034,2017-09-02T21:00:14+00,Oil & Gas (1B2),CH4,mf,"[-119.64961196994193, 35.33823957771624, -119.64179003643164, 35.344647943038346]",ang,2023-05-14 20:23:24.235075+00:00,,,,,192.0,54.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t211355-A,35.364672,-119.670044,2017-09-02T21:13:55+00,Oil & Gas (1B2),CH4,mf,"[-119.67355019119492, 35.361500250113785, -119.66565756629895, 35.367908700480356]",ang,2023-05-14 20:23:24.221268+00:00,,,,,80.0,3.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t211355-C,35.37663892,-119.6843226,2017-09-02T21:13:55+00,Oil & Gas (1B2),CH4,mf,"[-119.6886617325332, 35.37309152802481, -119.6808021656997, 35.3794999624728]",ang,2023-05-14 20:23:24.221047+00:00,,,,,131.0,23.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t211355-D,35.241237,-119.590428,2017-09-02T21:13:55+00,Oil & Gas (1B2),CH4,mf,"[-119.59412641277923, 35.23795842773533, -119.58624615153741, 35.24436661626288]",ang,2023-05-14 20:23:24.220985+00:00,,,,,230.0,27.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t211355-F,35.417435,-119.702655,2017-09-02T21:13:55+00,Oil & Gas (1B2),CH4,mf,"[-119.70635841787757, 35.41344090764816, -119.69842638567917, 35.41993305234596]",ang,2023-05-14 20:23:24.221410+00:00,,,,,148.0,66.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t212540-A,35.32914231,-119.6685722,2017-09-02T21:25:40+00,Oil & Gas (1B2),CH4,mf,"[-119.67258920730073, 35.32579065493581, -119.66476835627593, 35.33219912047388]",ang,2023-05-14 20:23:24.238708+00:00,,,,,221.0,79.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t212540-B,35.478814,-119.754111,2017-09-02T21:25:40+00,Oil & Gas (1B2),CH4,mf,"[-119.75733785785981, 35.47468362403495, -119.74950223142149, 35.481092348687326]",ang,2023-05-14 20:23:24.238761+00:00,,,,,575.0,264.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170902t214547-A,35.06188844,-119.0261821,2017-09-02T21:45:47+00,Oil & Gas (1B2),CH4,mf,"[-119.03223911028594, 35.0569072143, -119.02444014827313, 35.06329105428721]",ang,2023-05-14 20:23:19.265404+00:00,,,,,411.0,73.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170905t171550-A,34.307753,-118.549874,2017-09-05T17:15:50+00,Oil & Gas (1B2),CH4,mf,"[-118.55081657725475, 34.30693602043762, -118.54858204923175, 34.30878988286966]",ang,2023-05-14 20:23:24.221711+00:00,,,,,127.0,51.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170905t172047-A,34.307753,-118.549874,2017-09-05T17:20:47+00,Oil & Gas (1B2),CH4,mf,"[-118.55076927853025, 34.30703637846765, -118.54853474782152, 34.30889024091295]",ang,2023-05-14 20:21:18.072650+00:00,,,,,186.0,74.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
